Structure;Poste;Nom base français;Spécificité 1;Spécificité 2;Tags français;Unité français;Localisation géographique;Incertitude;Total poste non décomposé;Code de la catégorie;Sous catégorie 1;Sous catégorie 2;Sous catégorie 3;Sous catégorie 4
élément décomposé par gaz;Poste 9;Insecticide moyen;/;/;phytosanitaire,insecticide;kgCO2e/kg de matière active;Europe;50;25,5;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Phytosanitaires
élément non décomposé;Poste 9;Kieselguhr, diatomites, perlites;/;/;viticulture,Kieselguhr,diatomites,perlites;kgCO2e/tonne;France continentale;50;1010;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Produits chimiques spécifiques à la viticulture
élément décomposé par gaz;Poste 9;Laque PU;noire;/;base IMPACT,peinture,laque;kgCO2e/kg;Monde;;6,77;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Peintures et résines;
élément décomposé par poste;Poste 10;Lave-linge;capacité 5 kg;;électroménager,Lave-linge;kgCO2e/unité;France continentale;30;305;Achats de biens ; Machines et équipements ; Electroménager;;
élément décomposé par poste;Poste 10;Lave-linge;capacité 7kg;;électroménager,Lave-linge;kgCO2e/unité;France continentale;30;342;Achats de biens ; Machines et équipements ; Electroménager;;
élément décomposé par poste;Poste 10;Lave-vaisselle;compact;9 couverts;Cuisine,électroménager,Lave-vaisselle;kgCO2e/unité;France continentale;30;235;Achats de biens ; Machines et équipements ; Electroménager;;
élément décomposé par poste;Poste 10;Lave-vaisselle;professionnel;;Cuisine,électroménager,Lave-vaisselle;kgCO2e/unité;France continentale;30;961;Achats de biens ; Machines et équipements ; Electroménager;;
élément décomposé par poste;Poste 10;Lave-vaisselle;standard;12 couverts;électroménager,Lave-vaisselle;kgCO2e/unité;France continentale;30;271;Achats de biens ; Machines et équipements ; Electroménager;;
élément décomposé par poste;Poste 10;Liseuse;non-rétro-éclairée;;informatique,Liseuse,non-rétro-éclairée;kgCO2e/unité;France continentale;50;38,3;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par poste;Poste 10;Liseuse;rétro-éclairée;;informatique,numérique,Liseuse,rétro-éclairée;kgCO2e/unité;France continentale;50;44,9;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément non décomposé;Poste 9;Livre de 300 g;/;/;PAPIER,livre;kgCO2e/livre;France continentale;45;1,1;Achats de biens ; Papier, carton;;;
élément décomposé par poste et par gaz;Poste 10;Machine à café;dosette;;equipement,Machine à café;kgCO2e/unité;France continentale;50;22,5;Achats de biens ; Machines et équipements ; Electroménager;;
élément décomposé par poste et par gaz;Poste 10;Machine à café;expresso;;equipement,Machine à café;kgCO2e/unité;France continentale;50;47,6;Achats de biens ; Machines et équipements ; Electroménager;;
élément décomposé par poste et par gaz;Poste 10;Machine à café;filtre;;equipement,Machine à café;kgCO2e/unité;France continentale;50;31,9;Achats de biens ; Machines et équipements ; Electroménager;;
élément décomposé par poste;Poste 10;Machine à pain;;;,Cuisine,électroménager,Machine à pain;kgCO2e/unité;France continentale;50;53,1;Achats de biens ; Machines et équipements ; Electroménager;;
élément non décomposé;Poste 10;Machines;;fabrication;machine;kgCO2e/kg;France continentale;50;5,5;Achats de biens ; Machines et équipements ; Machines industrielles;;
élément non décomposé;Poste 9;Maintenance multitechnique;/;/;service;kgCO2e/keuro;France continentale;33;215;Achats de services ; Autres services;;;
élément décomposé par poste et par gaz;Poste 10;Maison éco-construite « bois, paille, pierre, terre »;;;paille,Maison éco-construite « bois,pierre,terre »;kgCO2e/m2 SHON;France continentale;30;144;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Bâtiments;;
élément non décomposé;Poste 10;Maisons individuelles :MI;;;Bâtiment,maison;kgCO2e/m² SHON;France continentale;50;425;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Bâtiments;;
élément décomposé par poste et par gaz;Poste 10;Matelas;mousse;;mobilier,Mousse,equipement,Matelas;kgCO2e/unité;France continentale;25;284;Achats de biens ; Mobilier;;;
élément décomposé par poste et par gaz;Poste 10;Matelas;ressorts;;mobilier,equipement,Matelas,ressorts;kgCO2e/unité;France continentale;25;232;Achats de biens ; Mobilier;;;
élément non décomposé;Poste 9;Méthanol;/;/;méthanol;kgCO2e/tonne;France continentale;50;521;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Produits chimiques de base;
élément décomposé par poste;Postes 13 et 23;Métro;2018;Ile de France;métro;kgCO2e/passager.km;France continentale;20;2,84E-03;Transport de personnes ; Ferroviaire ; France continentale ; Métro, tramway, RER, transilien :Ile de France;
élément décomposé par poste;Postes 13 et 23;Métro;2019;Ile de France;métro;kgCO2e/passager.km;France continentale;20;2,74E-03;Transport de personnes ; Ferroviaire ; France continentale ; Métro, tramway, RER, transilien :Ile de France;
élément décomposé par poste;Postes 13 et 23;Métro, tramway, trolleybus;2018;Agglomération > à 250 000 habitants;métro,tramway,trolleybus;kgCO2e/passager.km;France continentale;60;3,29E-03;Transport de personnes ; Ferroviaire ; France continentale ; Métro, tramway :autres villes;
élément décomposé par poste;Postes 13 et 23;Métro, tramway, trolleybus;2018;Agglomération de 100 000 à 250 000 habitants;métro,tramway,trolleybus;kgCO2e/passager.km;France continentale;60;5,03E-03;Transport de personnes ; Ferroviaire ; France continentale ; Métro, tramway :autres villes;
élément décomposé par poste;Poste 10;Micro-onde;;;,Cuisine,électroménager,Micro-onde;kgCO2e/unité;France continentale;50;98,4;Achats de biens ; Machines et équipements ; Electroménager;;
élément non décomposé;Poste 9;Micro-organismes et extraits :bactéries, levures, écorces de levures;/;/;viticulture;kgCO2e/tonne;France continentale;50;2200;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Produits chimiques spécifiques à la viticulture
élément décomposé par poste;Poste 10;Mini-four;électrique;;Cuisine,électroménager,Mini-four,Electrique;kgCO2e/unité;France continentale;50;82,7;Achats de biens ; Machines et équipements ; Electroménager;;
élément non décomposé;Poste 10;Mobilier;;fabrication;mobilier;kgCO2e/tonne;France continentale;50;1833;Achats de biens ; Mobilier;;;
élément décomposé par poste;Poste 10;Modem;fibre;;fibre,informatique,numérique,réseau,Modem;kgCO2e/unité;France continentale;50;82,9;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par gaz;Poste 9;Molluscides :methiocarbe;/;/;phytosanitaire,molluscides;kgCO2e/kg de matière active;France continentale;50;8,94;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Phytosanitaires
élément décomposé par gaz;Poste 9;Mono ammonium phosphate;/;11% N + 46% P2O5;engrais,fertilisant,monoammonium phosphate;kgCO2e/tonne de P2O5;Europe;30;1723;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Engrais et composés azotés
élément non décomposé;Poste 9;Monomur terre cuite;/;/;matériaux de construction,mur,terre cuite;kgCO2e/m²;France continentale;10;44,3;Achats de biens ; Produits minéraux non métalliques ; Matériaux de construction;;
élément non décomposé;Poste 10;Montant des achats;;;informatique;kgCO2e/keuro;Monde;50;917;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par poste;Poste 10;Montre connectée;;;informatique,numérique,Montre connectée,high-tech;kgCO2e/unité;France continentale;50;9,72;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément non décomposé;Poste 10;Moteur électrique;;;équipement électrique,moteur;kgCO2e/kg;Monde;30;2,93;Achats de biens ; Machines et équipements ; Equipements électriques;;
élément décomposé par poste;Postes 13 et 23;Moto =< 250 cm3;Mixte;2018;moto,Mixte;kgCO2e/km;France continentale;60;0,0763;Transport de personnes ; Routier ; Deux roues;;
élément décomposé par poste;Postes 13 et 23;Moto =< 250 cm3;Rural;2018;moto,Rural;kgCO2e/km;France continentale;60;0,0791;Transport de personnes ; Routier ; Deux roues;;
élément décomposé par poste;Postes 13 et 23;Moto =< 250 cm3;Urbain;2018;moto,Urbain;kgCO2e/km;France continentale;60;0,0736;Transport de personnes ; Routier ; Deux roues;;
élément décomposé par poste;Postes 13 et 23;Moto > 250 cm3;Mixte;2018;moto,Mixte;kgCO2e/km;France continentale;60;0,191;Transport de personnes ; Routier ; Deux roues;;
élément décomposé par poste;Postes 13 et 23;Moto > 250 cm3;Rural;2018;moto,Rural;kgCO2e/km;France continentale;60;0,184;Transport de personnes ; Routier ; Deux roues;;
élément décomposé par poste;Postes 13 et 23;Moto > 250 cm3;Urbain;2018;moto,Urbain;kgCO2e/km;France continentale;60;0,194;Transport de personnes ; Routier ; Deux roues;;
élément non décomposé;Poste 9;Mur, bardage;acier simple peau;/;Acier,matériaux de construction,mur;kgCO2e/m² de paroi;France continentale;10;7,82;Achats de biens ; Produits minéraux non métalliques ; Matériaux de construction;;
élément non décomposé;Poste 9;Mur, béton;maçonnerie de blocs en béton;/;matériaux de construction,mur,béton;kgCO2e/m²;France continentale;10;11,1;Achats de biens ; Produits minéraux non métalliques ; Matériaux de construction;;
élément décomposé par poste et par gaz;Postes 13 et 23;Navette fluviale;Donnée 2009;;bateau,navette;kgCO2e/passager.km;France continentale;60;0,0643;Transport de personnes ; Fluvial;;;
élément décomposé par poste et par gaz;Postes 13 et 23;Navette inter-îles;Mayotte-Anjouan;;bateau,ferry;kgCO2e/passager.km;France continentale;20;0,384;Transport de personnes ; Maritime ; DOM COM;;
élément décomposé par poste et par gaz;Postes 13 et 23;Navette inter-îles;Petit Terre-Grande Terre;;bateau,ferry;kgCO2e/passager.km;France continentale;20;0,31;Transport de personnes ; Maritime ; DOM COM;;
élément décomposé par poste et par gaz;Postes 13 et 23;Navette inter-îles;Polynésie;;bateau,ferry;kgCO2e/passager.km;France continentale;50;0,229;Transport de personnes ; Maritime ; DOM COM;;
élément non décomposé;Poste 9;Nickel;/;neuf;Métaux,nickel;kgCO2e/tonne;France continentale;20;9167;Achats de biens ; Métaux et produits métalliques ; Autres métaux;;
élément non décomposé;Poste 9;Nickel;/;recyclé;Métaux,nickel;kgCO2e/tonne;France continentale;20;9167;Achats de biens ; Métaux et produits métalliques ; Autres métaux;;
élément non décomposé;Poste 9;Nitrate d'ammoniaque phosphate;/;/;engrais,fertilisant,nitrate d'ammoniaque phosphate;kgCO2e/tonne de N;Europe;30;1684;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Engrais et composés azotés
élément non décomposé;Poste 9;Nitrate d'ammoniaque phosphate;:ASP;/;engrais,fertilisant,nitrate d'ammoniaque phosphate;kgCO2e/tonne de P2O5;Europe;30;1749;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Engrais et composés azotés
élément décomposé par gaz;Poste 9;Nitrate de potasse;/;44% K2O + 14% N;engrais,fertilisant,nitrate de potasse;kgCO2e/tonne de K2O;Europe;30;2605;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Engrais et composés azotés
élément décomposé par gaz;Poste 9;Nitrate de potassium;/;44% K2O + 14% N;engrais,fertilisant,nitrate de potassium;kgCO2e/tonne de K2O;Europe;30;2605;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Engrais et composés azotés
élément non décomposé;Poste 9;Nylon;/;/;Plastique,Nylon;kgCO2e/tonne;France continentale;25;7630;Achats de biens ; Plastiques et produits chimiques ; Plastiques et caoutchouc ; Polyamides;
élément décomposé par poste;Poste 10;Ordinateur;fixe;Bureautique;informatique,Ordinateur,bureautique,fixe;kgCO2e/unité;France continentale;50;169;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par poste;Poste 10;Ordinateur;fixe;haute performance;informatique,Ordinateur,bureautique,fixe;kgCO2e/unité;France continentale;50;296;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par poste;Poste 10;Ordinateur;portable;;informatique,Ordinateur,portable,bureautique;kgCO2e/unité;France continentale;50;156;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément non décomposé;Poste 11;Ordures ménagères résiduelles;/;Fin de vie moyenne - Impacts;Déchet,Fin de vie moyenne,Ordures ménagères résiduelles,Omr;kgCO2e/tonne de déchets;France continentale;50;386;Traitement des déchets ; Ménages et assimilés ; Ordures Ménagères Résiduelles;;
élément non décomposé;Poste 11;Ordures ménagères résiduelles;/;Incinération - Impacts;Incinération,Déchet,Ordures ménagères résiduelles,Omr;kgCO2e/tonne de déchets;France continentale;20;374;Traitement des déchets ; Ménages et assimilés ; Ordures Ménagères Résiduelles;;
élément non décomposé;Poste 11;Ordures ménagères résiduelles;/;Stockage - Impacts;Déchet,Stockage,Ordures ménagères résiduelles,Omr;kgCO2e/tonne de déchets;France continentale;100;412;Traitement des déchets ; Ménages et assimilés ; Ordures Ménagères Résiduelles;;
élément non décomposé;Poste 9;Panneau de plafond suspendu;/;/;matériaux de construction,plafond;kgCO2e/m²;France continentale;10;3,95;Achats de biens ; Produits minéraux non métalliques ; Matériaux de construction;;
élément non décomposé;Poste 9;Papier;Moyen;Hors utilisation et fin de vie;PAPIER;kgCO2e/Kg;France continentale;;0,919;Achats de biens ; Papier, carton;;;
élément non décomposé;Poste 10;Parking;aire de repos d'autoroute;béton armé;béton,parking;kgCO2e/m²;France continentale;15;337;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Parking;
élément non décomposé;Poste 10;Parking;aire de repos d'autoroute;bitume;parking,bitume;kgCO2e/m²;France continentale;15;92;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Parking;
élément non décomposé;Poste 10;Parking;aire de repos d'autoroute;Semi rigide;parking,semi-rigide;kgCO2e/m²;France continentale;15;165;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Parking;
élément non décomposé;Poste 10;Parking;classique;béton armé;béton,parking;kgCO2e/m²;France continentale;15;319;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Parking;
élément non décomposé;Poste 10;Parking;classique;bitume;parking,bitume;kgCO2e/m²;France continentale;15;73;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Parking;
élément non décomposé;Poste 10;Parking;classique;Semi rigide;parking,semi-rigide;kgCO2e/m²;France continentale;15;165;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Parking;
élément non décomposé;Poste 9;Pâte à papier;Moyen;neuf;PAPIER;kgCO2e/tonne;France continentale;20;297;Achats de biens ; Papier, carton;;;
élément non décomposé;Poste 9;Pâte à papier;Moyen;recyclé;PAPIER;kgCO2e/tonne;France continentale;20;317;Achats de biens ; Papier, carton;;;
élément décomposé par poste et par gaz;Poste 10;Perceuse-visseuse :sans fil;;;equipement,Perceuse,visseuse,bricolage;kgCO2e/unité;France continentale;50;23,5;Achats de biens ; Machines et équipements ; Equipements électriques;;
élément non décomposé;Poste 9;Petites fournitures;/;/;fourniture de bureau;kgCO2e/euro dépensé;France continentale;50;0,367;Achats de biens ; Autres produits manufacturés ; Consommables de bureau;;
élément décomposé par poste;Poste 12;Pétrolier;5 000 à 60 000 tonnes;HFO-MGO;bateau,pétrolier,fret;kgCO2e/t.km;France continentale;60;0,0207;Transport de marchandises ; Maritime ; Pétroliers;;
élément décomposé par poste;Poste 12;Pétrolier;60 000 à 200 000 tonnes;HFO-MGO;bateau,pétrolier,fret;kgCO2e/t.km;France continentale;60;8,84E-03;Transport de marchandises ; Maritime ; Pétroliers;;
élément décomposé par poste;Poste 12;Pétrolier;< 5 000 tonnes;HFO-MGO;bateau,pétrolier,fret;kgCO2e/t.km;France continentale;60;0,0606;Transport de marchandises ; Maritime ; Pétroliers;;
élément décomposé par poste;Poste 12;Pétrolier;> 200 000 tonnes;GNL;bateau,pétrolier,fret;kgCO2e/t.km;France continentale;60;2,60E-03;Transport de marchandises ; Maritime ; Pétroliers;;
élément décomposé par poste;Poste 12;Pétrolier;> 200 000 tonnes;HFO-MGO;bateau,pétrolier,fret;kgCO2e/t.km;France continentale;60;2,61E-03;Transport de marchandises ; Maritime ; Pétroliers;;
élément non décomposé;Poste 10;Photocopieurs;;;machine de bureau,photocopieur;kgCO2e/appareil;Monde;50;2935;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément non décomposé;Poste 9;Phytosanitaire moyen;/;/;phytosanitaire;kgCO2e/kg de matière active;Europe;50;9,2;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Phytosanitaires
élément non décomposé;Poste 9;Pierres de carrière;/;/;pierre de carrière;kgCO2e/tonne;France continentale;80;11;Achats de biens ; Minerais, granulats, tourbes ; Pierres de carrière;;
élément non décomposé;Poste 11;Piles et batteries en mélange;/;Fin de vie moyenne - Impacts;Déchet,Fin de vie moyenne,Pile,Batterie;kgCO2e/tonne de déchets;France continentale;20;360;Traitement des déchets ; Ménages et assimilés ; Piles et accumulateurs portables;;
élément non décomposé;Poste 11;Piles et batteries en mélange;/;Fin de vie moyenne - Impacts;Déchet,Fin de vie moyenne,Piles et batteries en mélange,P&A;kgCO2e/tonne de déchets;France continentale;20;360;Traitement des déchets ; Activités Economiques ; Piles et accumulateurs portables;;
élément décomposé par gaz;Poste 12;Pirogue;Guyane;Donnée 2009;bateau,fret,Pirogue;kgCO2e/t.km;France continentale;20;0,473;Transport de marchandises ; Maritime ; DOM COM;;
élément décomposé par poste et par gaz;Poste 10;Plaques de cuisson;à induction  9000W;;Cuisine,cuisson,equipement,Plaques de cuisson;kgCO2e/unité;France continentale;50;89,7;Achats de biens ; Machines et équipements ; Electroménager;;
élément décomposé par poste et par gaz;Poste 10;Plaques de cuisson;au gaz 9000W;;Cuisine,cuisson,equipement,Plaques de cuisson;kgCO2e/unité;France continentale;50;43,4;Achats de biens ; Machines et équipements ; Electroménager;;
élément décomposé par poste et par gaz;Poste 10;Plaques de cuisson;vitrocéramiques 9000W;;Cuisine,cuisson,equipement,Plaques de cuisson;kgCO2e/unité;France continentale;50;65,3;Achats de biens ; Machines et équipements ; Electroménager;;
élément non décomposé;Poste 9;Plastique;moyenne;neuf;Plastique;kgCO2e/tonne;France continentale;20;2383;Achats de biens ; Plastiques et produits chimiques ; Plastiques et caoutchouc ; Plastique moyen;
élément non décomposé;Poste 9;Plastique;moyenne;recyclé;Plastique;kgCO2e/tonne;France continentale;20;202;Achats de biens ; Plastiques et produits chimiques ; Plastiques et caoutchouc ; Plastique moyen;
élément non décomposé;Poste 9;Plastique;PEBD;neuf;Plastique,polyéthylène,PEBD;kgCO2e/tonne;France continentale;20;2090;Achats de biens ; Plastiques et produits chimiques ; Plastiques et caoutchouc ; Polymères de l'éthylène;
élément non décomposé;Poste 9;Plastique;PEBD;recyclé;Plastique,polyéthylène,PEBD;kgCO2e/tonne;France continentale;20;202;Achats de biens ; Plastiques et produits chimiques ; Plastiques et caoutchouc ; Polymères de l'éthylène;
élément non décomposé;Poste 9;Plastique;PEHD;neuf;Plastique,PEHD,polyéthylène;kgCO2e/tonne;France continentale;20;1920;Achats de biens ; Plastiques et produits chimiques ; Plastiques et caoutchouc ; Polymères de l'éthylène;
élément non décomposé;Poste 9;Plastique;PEHD;recyclé;Plastique,PEHD,polyéthylène;kgCO2e/tonne;France continentale;20;202;Achats de biens ; Plastiques et produits chimiques ; Plastiques et caoutchouc ; Polymères de l'éthylène;
élément non décomposé;Poste 9;Plastique;PET;neuf;Plastique,PET,polytéréphtalate d'éthylène;kgCO2e/tonne;France continentale;20;3270;Achats de biens ; Plastiques et produits chimiques ; Plastiques et caoutchouc ; Polymères de l'éthylène;
élément non décomposé;Poste 9;Plastique;PET;recyclé;Plastique,PET,polytéréphtalate d'éthylène;kgCO2e/tonne;France continentale;20;202;Achats de biens ; Plastiques et produits chimiques ; Plastiques et caoutchouc ; Polymères de l'éthylène;
élément non décomposé;Poste 9;Plastique;PS;neuf;Plastique,PS,polystyrène;kgCO2e/tonne;France continentale;20;2830;Achats de biens ; Plastiques et produits chimiques ; Plastiques et caoutchouc ; Polymères du styrène;
élément non décomposé;Poste 9;Plastique;PS;recyclé;Plastique,PS,polystyrène;kgCO2e/tonne;France continentale;20;2830;Achats de biens ; Plastiques et produits chimiques ; Plastiques et caoutchouc ; Polymères du styrène;
élément non décomposé;Poste 9;Plastique;PVC;neuf;Plastique,PVC,polychlorure de vinyle;kgCO2e/tonne;France continentale;20;1870;Achats de biens ; Plastiques et produits chimiques ; Plastiques et caoutchouc ; Polymères du chlorure de vinyle;
élément non décomposé;Poste 9;Plastique;PVC;recyclé;Plastique,PVC,polychlorure de vinyle;kgCO2e/tonne;France continentale;20;403;Achats de biens ; Plastiques et produits chimiques ; Plastiques et caoutchouc ; Polymères du chlorure de vinyle;
élément non décomposé;Poste 9;Plomb;/;neuf;Métaux,plomb;kgCO2e/tonne;France continentale;30;2090;Achats de biens ; Métaux et produits métalliques ; Autres métaux;;
élément non décomposé;Poste 9;Plomb;/;recyclé;Métaux,plomb;kgCO2e/tonne;France continentale;30;2090;Achats de biens ; Métaux et produits métalliques ; Autres métaux;;
élément décomposé par poste;Poste 12;Porte-conteneur;Dry;Asie - Europe du Nord;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;5,54E-03;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
élément décomposé par poste;Poste 12;Porte-conteneur;Dry;Asie - Méditerranée;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;6,95E-03;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
élément décomposé par poste;Poste 12;Porte-conteneur;Dry;Autres liaisons détaillées;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,0131;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
élément décomposé par poste;Poste 12;Porte-conteneur;Dry;Autres liaisons majeures;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;9,56E-03;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons principales;
élément décomposé par poste;Poste 12;Porte-conteneur;Dry;Europe - Afrique;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,0109;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
élément décomposé par poste;Poste 12;Porte-conteneur;Dry;Europe - Amérique du Sud et Centrale;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;8,79E-03;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
élément décomposé par poste;Poste 12;Porte-conteneur;Dry;Europe - Moyen-Orient et Inde;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;7,17E-03;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
élément décomposé par poste;Poste 12;Porte-conteneur;Dry;Europe - Océanie;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,012;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
élément décomposé par poste;Poste 12;Porte-conteneur;Dry;Europe du Nord - Amérique du Nord, façade atlantique;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,0109;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
élément décomposé par poste;Poste 12;Porte-conteneur;Dry;Europe du Nord - Amérique du Nord, façade pacifique;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,0105;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
élément décomposé par poste;Poste 12;Porte-conteneur;Dry;Europe du Nord - Médtierranée;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,0109;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
élément décomposé par poste;Poste 12;Porte-conteneur;Dry;Intra Europe du Nord;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,0152;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
élément décomposé par poste;Poste 12;Porte-conteneur;Dry;Intra Méditerranée;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,0163;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
élément décomposé par poste;Poste 12;Porte-conteneur;Dry;Méditerranée - Amérique du Nord, façade atlantique;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,0109;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
élément décomposé par poste;Poste 12;Porte-conteneur;Dry;Méditerranée - Amérique du Nord, façade pacifique;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;9,34E-03;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
élément décomposé par poste;Poste 12;Porte-conteneur;Dry;Trans-Atlantique;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,0107;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons principales;
élément décomposé par poste;Poste 12;Porte-conteneur;Dry;Trans-Suez;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;7,38E-03;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons principales;
élément décomposé par poste;Poste 12;Porte-conteneur;Dry;Valeur moyenne;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;8,47E-03;Transport de marchandises ; Maritime ; Porte-conteneur ; Moyenne mondiale;
élément décomposé par poste;Poste 12;Porte-conteneur;Reefer;Asie - Europe du Nord;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,0109;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
élément décomposé par poste;Poste 12;Porte-conteneur;Reefer;Asie - Méditerranée;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,013;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
élément décomposé par poste;Poste 12;Porte-conteneur;Reefer;Autres liaisons détaillées;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,0206;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
élément décomposé par poste;Poste 12;Porte-conteneur;Reefer;Autres liaisons majeures;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,0152;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons principales;
élément décomposé par poste;Poste 12;Porte-conteneur;Reefer;Europe - Afrique;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,0185;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
élément décomposé par poste;Poste 12;Porte-conteneur;Reefer;Europe - Amérique du Sud et Centrale;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,0152;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
élément décomposé par poste;Poste 12;Porte-conteneur;Reefer;Europe - Moyen-Orient et Inde;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,013;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
élément décomposé par poste;Poste 12;Porte-conteneur;Reefer;Europe - Océanie;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,0174;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
élément décomposé par poste;Poste 12;Porte-conteneur;Reefer;Europe du Nord - Amérique du Nord, façade atlantique;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,0163;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
élément décomposé par poste;Poste 12;Porte-conteneur;Reefer;Europe du Nord - Amérique du Nord, façade pacifique;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,0163;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
